method,task,run,passed,duration_s,tokens,cost_cny,message_count
evolutionary,t1_todo_cli,1,true,103,808542,1.1963,162
evolutionary,t1_todo_cli,2,true,98,756058,1.1799,135
evolutionary,t1_todo_cli,3,true,243,1633176,2.3949,249
evolutionary,t1_todo_cli,4,true,169,514230,0.9143,100
evolutionary,t1_todo_cli,5,true,337,1103105,1.8274,206
evolutionary,t2_blog,1,true,407,1018150,1.621,237
evolutionary,t2_blog,2,true,952,3350314,5.0048,729
evolutionary,t2_blog,3,true,187,1228800,1.9403,263
evolutionary,t2_blog,4,true,285,2562858,3.8096,354
evolutionary,t2_blog,5,false,233,1368130,2.2228,258
evolutionary,t2_order,1,false,219,1222354,2.0063,259
evolutionary,t2_order,2,false,443,1296481,2.0312,224
evolutionary,t2_order,3,false,380,1370674,2.0625,314
evolutionary,t2_order,4,false,401,1425312,2.2903,320
evolutionary,t2_order,5,false,365,1353076,2.1389,288
evolutionary,t2_rbac,1,true,442,1937092,2.9599,487
evolutionary,t2_rbac,2,true,849,2618966,3.884,536
evolutionary,t2_rbac,3,false,279,1090495,1.7202,224
evolutionary,t2_rbac,4,true,509,2638474,3.9487,542
evolutionary,t2_rbac,5,true,395,2401280,3.6482,431
evolutionary,t3_ecommerce,1,true,653,3588707,5.1816,521
evolutionary,t3_ecommerce,2,true,683,2392679,3.6294,481
evolutionary,t3_ecommerce,3,true,552,1815228,2.8357,476
evolutionary,t3_ecommerce,4,true,942,2759039,4.065,490
evolutionary,t3_ecommerce,5,true,808,3050065,4.5576,531
scrum,t1_todo_cli,1,true,184,518702,0.8793,116
scrum,t1_todo_cli,2,true,255,565887,0.9088,128
scrum,t1_todo_cli,3,true,473,969948,1.5217,158
scrum,t1_todo_cli,4,true,149,754418,1.2105,115
scrum,t1_todo_cli,5,true,178,990988,1.5283,152
scrum,t2_blog,1,true,822,1623177,2.6383,340
scrum,t2_blog,2,true,192,849730,1.3202,165
scrum,t2_blog,3,true,275,1278070,1.9672,215
scrum,t2_blog,4,true,344,1635751,2.3568,322
scrum,t2_blog,5,true,418,1310265,2.071,371
scrum,t2_order,1,true,502,2601908,3.7169,500
scrum,t2_order,2,false,243,761742,1.26,172
scrum,t2_order,3,false,266,819095,1.3316,186
scrum,t2_order,4,false,475,1546052,2.5084,340
scrum,t2_order,5,false,632,1554971,2.4879,403
scrum,t2_rbac,1,true,538,1146477,1.8191,380
scrum,t2_rbac,2,true,574,1771063,2.7247,390
scrum,t2_rbac,3,true,280,766740,1.3118,253
scrum,t2_rbac,4,true,645,1332863,2.2022,273
scrum,t2_rbac,5,false,765,1243291,1.9436,379
scrum,t3_ecommerce,1,true,716,2308255,3.5823,413
scrum,t3_ecommerce,2,true,419,1197863,1.9995,445
scrum,t3_ecommerce,3,false,463,1422744,2.3661,350
scrum,t3_ecommerce,4,false,1161,2095126,3.2727,559
scrum,t3_ecommerce,5,false,1540,5690845,7.6773,675
waterfall,t1_todo_cli,1,true,469,1435572,2.2224,356
waterfall,t1_todo_cli,2,true,562,1528433,2.3633,306
waterfall,t1_todo_cli,3,true,566,2426459,3.3826,410
waterfall,t1_todo_cli,4,true,1408,2276715,3.4844,463
waterfall,t1_todo_cli,5,true,800,1953259,2.9379,362
waterfall,t2_blog,1,true,1442,3583155,5.1333,560
waterfall,t2_blog,2,false,1187,3726774,5.5925,503
waterfall,t2_blog,3,true,1254,5535612,7.6438,565
waterfall,t2_blog,4,true,1468,4346979,6.4159,522
waterfall,t2_blog,5,true,1762,4740600,6.509,661
waterfall,t2_order,1,false,1306,2526758,3.8492,457
waterfall,t2_order,2,false,1610,7413386,9.9522,609
waterfall,t2_order,3,false,836,3249658,4.704,488
waterfall,t2_order,4,false,2054,6437944,8.7991,792
waterfall,t2_order,5,false,1582,3870776,5.7585,633
waterfall,t2_rbac,1,true,1356,3458487,5.1386,734
waterfall,t2_rbac,2,true,1164,5301015,7.4427,755
waterfall,t2_rbac,3,true,688,2109087,3.1568,403
waterfall,t2_rbac,4,true,1568,5854116,7.987,790
waterfall,t2_rbac,5,true,1224,4042697,5.9928,591
waterfall,t3_ecommerce,1,false,600,2917175,4.2954,497
waterfall,t3_ecommerce,2,false,799,3173701,4.9371,736
waterfall,t3_ecommerce,3,false,600,3648455,5.2035,613
waterfall,t3_ecommerce,4,false,1295,6650624,9.0341,895
waterfall,t3_ecommerce,5,false,1141,4392162,6.4547,631
kanban,t1_todo_cli,1,true,88,482767,0.7699,97
kanban,t1_todo_cli,2,true,119,512261,0.7656,115
kanban,t1_todo_cli,3,true,85,551035,0.8281,88
kanban,t1_todo_cli,4,true,119,590738,0.8669,98
kanban,t1_todo_cli,5,true,135,771268,1.0855,114
kanban,t2_blog,1,false,276,821382,1.4111,199
kanban,t2_blog,2,true,265,1088817,1.7114,236
kanban,t2_blog,3,true,211,716389,1.2574,239
kanban,t2_blog,4,true,229,775258,1.262,161
kanban,t2_blog,5,true,371,1066761,1.7619,254
kanban,t2_order,1,false,210,673971,1.1885,186
kanban,t2_order,2,false,313,1503055,2.4109,304
kanban,t2_order,3,false,284,1745682,2.49,311
kanban,t2_order,4,false,350,1221604,1.9901,263
kanban,t2_order,5,false,365,1106983,1.8476,253
kanban,t2_rbac,1,true,275,954754,1.5941,306
kanban,t2_rbac,2,true,354,1262653,2.0458,332
kanban,t2_rbac,3,true,316,1472391,2.2601,281
kanban,t2_rbac,4,true,402,903449,1.6148,311
kanban,t2_rbac,5,true,347,1151176,1.7919,313
kanban,t3_ecommerce,1,false,473,1346470,2.1826,358
kanban,t3_ecommerce,2,false,439,913695,1.6095,318
kanban,t3_ecommerce,3,false,274,791476,1.4078,301
kanban,t3_ecommerce,4,false,430,1580033,2.4811,330
kanban,t3_ecommerce,5,false,552,2263899,3.5384,494
no-mgmt,t1_todo_cli,1,true,27,147121,0.2154,36
no-mgmt,t1_todo_cli,2,true,12,148981,0.2048,23
no-mgmt,t1_todo_cli,3,true,41,97597,0.1342,58
no-mgmt,t1_todo_cli,4,true,28,47292,0.0856,26
no-mgmt,t1_todo_cli,5,true,27,46906,0.0635,26
no-mgmt,t2_blog,1,true,67,75527,0.1138,56
no-mgmt,t2_blog,2,true,72,75603,0.1151,56
no-mgmt,t2_blog,3,true,62,124925,0.1722,78
no-mgmt,t2_blog,4,true,78,138604,0.2094,65
no-mgmt,t2_blog,5,true,65,47934,0.0703,50
no-mgmt,t2_order,1,false,61,126182,0.1784,60
no-mgmt,t2_order,2,false,48,76648,0.1206,49
no-mgmt,t2_order,3,false,50,100722,0.1449,53
no-mgmt,t2_order,4,false,84,78352,0.1342,63
no-mgmt,t2_order,5,false,69,47013,0.0649,49
no-mgmt,t2_rbac,1,true,62,76903,0.1192,62
no-mgmt,t2_rbac,2,false,61,74677,0.113,60
no-mgmt,t2_rbac,3,true,57,74032,0.104,64
no-mgmt,t2_rbac,4,true,109,208978,0.324,82
no-mgmt,t2_rbac,5,true,94,154450,0.2579,76
no-mgmt,t3_ecommerce,1,false,89,220092,0.3184,88
no-mgmt,t3_ecommerce,2,false,99,171882,0.2662,100
no-mgmt,t3_ecommerce,3,false,175,221603,0.3222,125
no-mgmt,t3_ecommerce,4,false,151,170136,0.2678,106
no-mgmt,t3_ecommerce,5,false,140,102857,0.1648,89
